Row Names,image_auroc,pixel_auroc
mvtec_bottle,1.0,0.9844763463563888
mvtec_cable,0.993815592203898,0.9840002905303884
mvtec_capsule,0.957718388512166,0.9886772358783642
mvtec_carpet,0.9891653290529695,0.9907189065537938
mvtec_grid,0.974937343358396,0.9873139833246188
mvtec_hazelnut,1.0,0.9868367563758575
mvtec_leather,1.0,0.9928534302184898
mvtec_metal_nut,0.9990224828934506,0.9832133845488827
mvtec_pill,0.9530823786142936,0.9773516146212673
mvtec_screw,0.9520393523262964,0.9939652942970494
mvtec_tile,0.9902597402597403,0.9562680441108243
mvtec_toothbrush,0.9972222222222222,0.9854087155379385
mvtec_transistor,0.9987499999999999,0.9619572517419638
mvtec_wood,0.9921052631578947,0.9493713240776455
mvtec_zipper,0.9771533613445378,0.9878877587318676
Mean,0.9850180969297243,0.9806866891270227
